plot,Rep,Row,Column,taxa,Anthesis,Silking,Silking.sp,Anthesis.sp,Silking.sp.sp
1531,1,19,27,PHJ31,83,86,80.1847789969608,77.3696502154827,80.1851193385794
1532,1,19,28,B52,79,81,77.6598905025337,75.3477781662317,77.6602904465996
1533,1,20,1,MS200,67,72,73.7007568282098,69.8848841438494,73.701314378735
1534,1,20,2,R53,64,65,70.1862426606629,68.3660211815952,70.186661741844
1535,1,20,3,PHM10,72,77,76.1714837046767,72.3471034129538,76.1717693058596
1536,1,20,4,Chi-tan_120,69,72,73.6563394275237,70.8281042264428,73.6564997117899
1537,1,20,5,R30,77,81,78.1406699288927,74.8090021223576,78.1407163004574
1538,1,20,6,NC250,77,77,76.1243302677752,74.7897768997676,76.1242774880579
1539,1,20,7,PHKM5,63,63,69.1071729506041,67.770409855652,69.1070391822798
1540,1,20,8,CR14,67,67,71.0891118327875,69.7508929110331,71.0889172221222
1541,1,20,9,W182BN,65,66,70.5701267634713,68.7312304321841,70.5698919170264
1542,1,20,10,Mo45,79,79,77.0503349757763,75.7114588302511,77.0500777925989
1543,1,20,11,CI_540,77,83,79.0299013547621,74.69162408828,79.0296359964228
1544,1,20,12,91IFC2,67,68,71.5089375973436,69.6717534726706,71.5086759895498
1545,1,20,13,NKH8431,69,69,71.9875475442489,70.6518703135176,71.9872996421573
1546,1,20,14,B42,73,77,75.9658474201362,72.6319996370344,75.9656209542863
1547,1,20,15,PHAW6,72,72,73.4439578211421,72.1121666665353,73.4437580910284
1548,1,20,16,B-28,71,77,75.9219987670402,71.5923957075086,75.921828503743
1549,1,20,17,DE811,78,77,75.9000293049483,75.0726979610688,75.8998899566104
1550,1,20,18,Oh43E,69,73,73.8780551941262,70.5530727671035,73.8779480559973
1551,1,20,19,SD101,71,71,72.8560353802461,71.5335060830675,72.8559625734093
1552,1,20,20,CH711-10,68,71,72.8339106823756,70.013979300404,72.833875537922
1553,1,20,21,PHM81,61,60,67.3116311971153,66.4944790805009,67.3116380836445
1554,1,20,22,PHT22,73,77,75.7891759070063,72.4750007510315,75.7892296128565
1555,1,20,23,B97,72,77,75.7665830033563,71.955555947708,75.7666874565108
1556,1,20,24,PHHB4,73,77,75.7438955557683,72.4361549500097,75.7440537438164
1557,1,20,25,A3G-3-3-1-313,77,78,76.2211519211837,74.4168029087927,76.2213660207242
1558,1,20,26,B97,73,79,76.6983807791038,72.3974974189702,76.6986522828867
1559,1,20,27,2FACC,71,71,72.6756036061326,71.3782305327011,72.6759333996824
1560,1,20,28,MBWZ,77,77,75.6528419638718,74.3589944164935,75.6532302169706
1561,1,21,1,PHP38,73,76,75.6362362028816,72.8239453000194,75.636775558928
1562,1,21,2,PHG50,69,69,72.1237237994116,70.8076983434222,72.1241292236345
1563,1,21,3,B97,73,76,75.6109629683693,72.7913944859702,75.6112394142653
1564,1,21,4,Pa762,72,73,74.0978095938317,72.2750078121295,74.0979651982501
1565,1,21,5,A401,71,76,75.5841267787523,71.7585183759916,75.5841728275208
1566,1,21,6,PHJ33,71,73,74.0697733583327,71.7419071774259,74.0697244569943
1567,1,21,7,B97,73,77,76.0546061346981,72.7251564142164,76.0544803256361
1568,1,21,8,B97,73,76,75.5385533280514,72.7082635278519,75.5383704373058
1569,1,21,9,LH210,76,76,75.521616679316,74.1912420700154,75.5213966116098
1570,1,21,10,DKMBUB,76,77,76.0039337971641,74.1741383005573,76.0036933944503
1571,1,21,11,PHW20,68,71,72.9856866776728,70.1570068904615,72.9854387404508
1572,1,21,12,MS226,72,71,72.9669941191617,72.1398781240116,72.9667490578529
1573,1,21,13,Mo39,77,76,75.4479594815136,74.6227759808147,75.4477257063317
1574,1,21,14,WIL900,72,77,75.9286868255778,72.1057239027612,75.9284706951508
1575,1,21,15,B97,73,76,75.409270073509,72.5887409453021,75.4090760278782
1576,1,21,16,A680,76,76,75.3897864039325,74.071839670518,75.3896172190139
